SORT;GEO/TIME;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
EFP;France;3.08;3.12;3.2;3.24;3.08;3.09;2.99;2.99;2.89;2.85;2.86;2.73
EFP;Italy;3.26;3.32;3.3;3.09;2.92;3.11;3.03;2.77;2.64;2.64;2.7;2.72
EFP;Latvia;2.93;3.24;3.65;2.74;2.63;2.61;2.99;3.07;3.25;3.51;3.81;3.9
EFP;Lithuania;2.57;2.69;2.89;2.89;2.6;2.85;3.01;3.13;2.97;3.33;3.41;3.42
EFP;Luxembourg;9.04;8.7;8.23;8.86;8.16;9.16;8.99;8.37;8.08;7.64;7.78;7.92
EFP;Netherlands;3.85;4.03;4.07;4.11;3.35;3.89;3.78;3.98;3.62;3.68;3.48;2.97
EFP;Austria;3.56;3.76;3.76;3.77;3.46;3.7;3.87;3.64;3.66;3.61;3.63;3.7
EFP;Poland;2.49;2.54;2.82;2.79;2.69;2.83;2.81;2.68;2.58;2.63;2.54;2.72
EFP;Portugal;2.67;2.62;2.64;2.56;2.53;2.61;2.37;2.23;2.19;2.23;2.42;2.52
EFP;Romania;1.87;1.84;1.78;1.97;1.68;1.7;1.85;1.7;1.64;1.67;1.82;1.9
EFP;Slovenia;3.06;3.24;3.37;3.3;2.88;3.01;3.03;2.84;2.76;2.79;2.99;3.14
EFP;Slovakia;2.66;2.6;2.97;3.15;2.65;2.68;3.06;2.52;2.65;2.57;2.57;2.58
EFP;Finland;4.44;4.14;4.21;4.3;3.66;3.84;3.68;3.51;3.78;3.62;3.55;3.84
EFP;United Kingdom;3.45;3.52;3.55;3.39;3.4;3.12;2.94;2.91;2.91;2.83;2.79;2.68
REG;Belgium;W;W;W;W;W;W;W;W;W;W;W;W
REG;Czechia;E;E;E;E;E;E;E;E;E;E;E;E
REG;Denmark;N;N;N;N;N;N;N;N;N;N;N;N
REG;Germany;W;W;W;W;W;W;W;W;W;W;W;W
REG;Estonia;N;N;N;N;N;N;N;N;N;N;N;N
REG;Greece;S;S;S;S;S;S;S;S;S;S;S;S
REG;Spain;S;S;S;S;S;S;S;S;S;S;S;S
REG;France;W;W;W;W;W;W;W;W;W;W;W;W
REG;Italy;S;S;S;S;S;S;S;S;S;S;S;S
REG;Latvia;N;N;N;N;N;N;N;N;N;N;N;N
REG;Lithuania;N;N;N;N;N;N;N;N;N;N;N;N
REG;Luxembourg;W;W;W;W;W;W;W;W;W;W;W;W
REG;Netherlands;W;W;W;W;W;W;W;W;W;W;W;W
REG;Austria;W;W;W;W;W;W;W;W;W;W;W;W
REG;Poland;E;E;E;E;E;E;E;E;E;E;E;E
REG;Portugal;S;S;S;S;S;S;S;S;S;S;S;S
REG;Romania;E;E;E;E;E;E;E;E;E;E;E;E
REG;Slovenia;E;E;E;E;E;E;E;E;E;E;E;E
REG;Slovakia;E;E;E;E;E;E;E;E;E;E;E;E
REG;Finland;N;N;N;N;N;N;N;N;N;N;N;N
REG;United Kingdom;N;N;N;N;N;N;N;N;N;N;N;N
